timestamp,tracker_id,class,confidence,x1,y1,x2,y2
23:02:42.177,1,person,0.74,34,0,549,478
23:02:42.254,1,person,0.80,43,1,567,479
23:02:42.287,1,person,0.87,41,1,522,479
23:02:42.322,1,person,0.85,15,0,516,479
23:02:42.365,1,person,0.87,21,0,506,480
23:02:42.394,1,person,0.87,21,0,506,480
23:02:42.419,1,person,0.83,19,0,500,479
23:02:42.461,1,person,0.81,8,2,493,479
23:02:42.497,1,person,0.81,8,2,493,479
23:02:42.529,1,person,0.87,8,3,490,479
23:02:42.560,1,person,0.86,14,3,490,479
23:02:42.602,1,person,0.82,8,2,441,479
23:02:42.639,1,person,0.82,8,2,441,479
23:02:42.673,1,person,0.78,15,1,443,478
23:02:42.715,1,person,0.82,14,3,503,480
23:02:42.738,1,person,0.82,14,3,503,480
23:02:42.764,1,person,0.84,27,0,509,479
23:02:42.797,1,person,0.84,27,0,509,479
23:02:42.820,1,person,0.89,44,0,513,479
23:02:42.859,1,person,0.89,40,0,523,479
23:02:42.882,1,person,0.89,40,0,523,479
23:02:42.907,1,person,0.86,42,0,526,479
23:02:42.955,1,person,0.84,38,0,529,479
23:02:43.003,1,person,0.83,79,0,531,479
23:02:43.032,1,person,0.83,79,0,531,479
23:02:43.061,1,person,0.84,55,0,532,479
23:02:43.101,1,person,0.82,46,0,546,479
23:02:43.139,1,person,0.82,46,0,546,479
23:02:43.170,1,person,0.82,88,0,538,479
23:02:43.202,1,person,0.82,88,0,538,479
23:02:43.224,1,person,0.73,84,0,547,479
23:02:43.259,1,person,0.75,87,0,551,479
23:02:43.296,1,person,0.75,87,0,551,479
23:02:43.318,1,person,0.79,83,0,557,479
23:02:43.354,1,person,0.82,85,0,561,479
23:02:43.403,1,person,0.79,102,0,575,479
23:02:43.442,1,person,0.79,102,0,575,479
23:02:43.468,1,person,0.81,82,1,582,479
23:02:43.500,1,person,0.82,111,3,571,480
23:02:43.534,1,person,0.82,111,3,571,480
23:02:43.564,1,person,0.70,132,3,583,479
23:02:43.615,1,person,0.72,151,0,589,479
23:02:43.644,1,person,0.72,151,0,589,479
23:02:43.674,1,person,0.76,142,1,585,480
23:02:43.706,1,person,0.76,142,1,585,480
23:02:43.738,1,person,0.81,100,0,584,479
23:02:43.768,1,cat,0.56,100,1,581,480
23:02:43.803,1,person,0.78,144,2,613,479
23:02:43.833,1,person,0.78,144,2,613,479
23:02:43.863,1,person,0.76,144,4,619,479
23:02:43.900,1,person,0.67,93,6,587,479
23:02:43.928,1,person,0.67,93,6,587,479
23:02:43.958,1,person,0.77,98,3,596,479
